label,timestamp,target_rate,actual_rate,duration_s,workers,read_ratio_pct,value_bytes,key_count,hot_keys,hot_ratio_pct,write_ops,read_ops,errors,dropped_tokens,wp50_us,wp95_us,wp99_us,wp999_us,wmax_us,rp50_us,rp95_us,rp99_us,rp999_us,rmax_us
throughput-1k,2026-06-04 03:21:10,1000,944,20.0,64,50.0,64,5000,0,80.0,9501,9394,0,0,44,58,70,104,387,31,39,50,72,201
throughput-5k,2026-06-04 03:21:35,5000,4801,20.0,64,50.0,64,5000,0,80.0,47745,48285,0,0,70,125,161,255,582,52,83,109,184,422
throughput-10k,2026-06-04 03:22:00,10000,9551,20.0,64,50.0,64,5000,0,80.0,95277,95743,0,0,108,210,282,404,711,75,136,176,320,625
throughput-20k,2026-06-04 03:22:25,20000,19017,20.0,64,50.0,64,5000,0,80.0,190227,190113,0,0,164,403,550,755,1223,102,207,297,602,932
throughput-50k,2026-06-04 03:22:50,50000,47555,20.0,64,50.0,64,5000,0,80.0,475963,475137,0,0,412,1122,1519,2059,3463,175,439,682,1341,2181
throughput-100k,2026-06-04 03:23:15,100000,97638,20.0,64,50.0,64,5000,0,80.0,976846,976210,0,41044,1280,2019,2689,3529,7103,92,484,871,1556,4263
ratio-read-only,2026-06-04 03:23:40,10000,9810,20.0,64,100.0,64,5000,0,80.0,0,196210,0,0,0,0,0,0,0,67,99,123,233,612
ratio-read-heavy,2026-06-04 03:24:05,10000,9447,20.0,64,90.0,64,5000,0,80.0,18856,170094,0,0,89,138,176,325,612,71,116,150,245,567
ratio-balanced,2026-06-04 03:24:30,10000,9471,20.0,64,50.0,64,5000,0,80.0,94771,94659,0,0,106,206,275,450,797,75,135,178,340,579
ratio-write-heavy,2026-06-04 03:24:55,10000,9401,20.0,64,10.0,64,5000,0,80.0,169222,18808,0,0,141,313,415,565,923,74,141,192,364,751
ratio-write-only,2026-06-04 03:25:20,10000,9455,20.0,64,0.0,64,5000,0,80.0,189110,0,0,0,148,345,460,636,1143,0,0,0,0,0
payload-64b,2026-06-04 03:25:45,10000,9570,20.0,64,50.0,64,1000,0,80.0,95825,95595,0,0,107,210,294,466,872,76,135,174,326,731
payload-256b,2026-06-04 03:26:10,10000,9542,20.0,64,50.0,256,1000,0,80.0,95468,95382,0,0,110,216,302,519,833,76,138,186,363,705
payload-1kb,2026-06-04 03:26:35,10000,9536,20.0,64,50.0,1024,1000,0,80.0,95126,95594,0,0,111,235,358,635,1041,76,143,227,504,842
payload-4kb,2026-06-04 03:27:00,10000,9522,20.0,64,50.0,4096,1000,0,80.0,95594,94856,0,0,125,278,435,700,1374,87,176,325,607,1200
payload-16kb,2026-06-04 03:27:25,10000,9512,20.0,64,50.0,16384,1000,0,80.0,94995,95265,0,0,173,372,582,842,2014,118,259,444,761,1673
payload-64kb,2026-06-04 03:27:50,10000,9744,20.0,64,50.0,65536,1000,0,80.0,97588,97292,0,0,417,855,1161,1652,3061,268,645,926,1403,2641
keys-10,2026-06-04 03:28:15,10000,9548,20.0,64,50.0,64,10,0,80.0,95370,95610,0,0,108,214,283,378,1219,75,140,182,253,1221
keys-1k,2026-06-04 03:28:40,10000,9488,20.0,64,50.0,64,1000,0,80.0,94697,95063,0,0,109,211,291,567,1449,77,140,194,440,1448
keys-100k,2026-06-04 03:29:05,10000,9625,20.0,64,50.0,64,100000,0,80.0,96352,96158,0,0,109,212,283,429,1564,76,136,177,290,1115
keys-1m,2026-06-04 03:29:30,10000,9457,20.0,64,50.0,64,1000000,0,80.0,94441,94699,0,0,107,207,278,442,3497,74,136,176,307,2937
hotkey-uniform,2026-06-04 03:29:55,10000,9568,20.0,64,50.0,64,5000,0,80.0,95604,95766,0,0,109,209,278,536,3395,76,135,172,275,3403
hotkey-skew-50,2026-06-04 03:30:20,10000,9532,20.0,64,50.0,64,5000,10,50.0,95486,95164,0,0,110,211,275,378,3879,75,134,173,242,3627
hotkey-skew-80,2026-06-04 03:30:45,10000,9557,20.0,64,50.0,64,5000,10,80.0,95572,95578,0,0,110,211,275,454,4009,76,135,174,269,4077
hotkey-skew-95,2026-06-04 03:31:10,10000,9783,20.0,64,50.0,64,5000,5,95.0,97659,98001,0,0,113,225,298,581,4013,76,139,179,302,3989
