label,timestamp,target_rate,actual_rate,duration_s,workers,read_ratio_pct,value_bytes,key_count,hot_keys,hot_ratio_pct,write_ops,read_ops,errors,dropped_tokens,wp50_us,wp95_us,wp99_us,wp999_us,wmax_us,rp50_us,rp95_us,rp99_us,rp999_us,rmax_us
throughput-1k,2026-06-04 03:04:49,1000,951,20.0,64,50.0,64,5000,0,80.0,9449,9587,0,0,45,61,69,94,328,32,42,50,67,646
throughput-5k,2026-06-04 03:05:14,5000,4808,20.0,64,50.0,64,5000,0,80.0,48027,48138,0,0,71,127,164,360,958,53,87,118,214,833
throughput-10k,2026-06-04 03:05:39,10000,9475,20.0,64,50.0,64,5000,0,80.0,94571,94929,0,0,110,212,288,589,988,77,142,186,493,858
throughput-20k,2026-06-04 03:06:04,20000,18944,20.0,64,50.0,64,5000,0,80.0,189447,189453,0,0,165,383,544,969,1593,106,213,307,854,1355
throughput-50k,2026-06-04 03:06:29,50000,47489,20.0,64,50.0,64,5000,0,80.0,475034,474766,0,0,417,1107,1569,2433,4063,188,462,805,1732,2725
throughput-100k,2026-06-04 03:06:54,100000,96618,20.0,64,50.0,64,5000,0,80.0,967692,965227,0,62581,1273,2097,2785,3691,6147,93,506,937,1645,4651
ratio-read-only,2026-06-04 03:07:19,10000,9700,20.0,64,100.0,64,5000,0,80.0,0,194020,0,0,0,0,0,0,0,69,105,130,242,839
ratio-read-heavy,2026-06-04 03:07:44,10000,9584,20.0,64,90.0,64,5000,0,80.0,19246,172434,0,0,90,137,170,327,813,71,115,143,241,879
ratio-balanced,2026-06-04 03:08:09,10000,9542,20.0,64,50.0,64,5000,0,80.0,95523,95327,0,0,109,214,294,678,1434,76,139,184,476,1311
ratio-write-heavy,2026-06-04 03:08:34,10000,9447,20.0,64,10.0,64,5000,0,80.0,170032,18908,0,0,145,312,425,824,2619,76,158,222,533,2167
ratio-write-only,2026-06-04 03:08:59,10000,9366,20.0,64,0.0,64,5000,0,80.0,187340,0,0,0,157,348,464,818,1200,0,0,0,0,0
payload-64b,2026-06-04 03:09:24,10000,9566,20.0,64,50.0,64,1000,0,80.0,95716,95614,0,0,111,211,281,674,1143,77,142,189,440,1026
payload-256b,2026-06-04 03:09:49,10000,9546,20.0,64,50.0,256,1000,0,80.0,95620,95300,0,0,111,213,299,786,1032,77,139,184,576,977
payload-1kb,2026-06-04 03:10:14,10000,9533,20.0,64,50.0,1024,1000,0,80.0,95202,95468,0,0,115,241,399,891,1309,79,157,257,792,1055
payload-4kb,2026-06-04 03:10:39,10000,9550,20.0,64,50.0,4096,1000,0,80.0,95458,95552,0,0,129,280,558,988,1620,89,182,400,849,1564
payload-16kb,2026-06-04 03:11:04,10000,9576,20.0,64,50.0,16384,1000,0,80.0,96069,95451,0,0,177,407,786,1204,2193,122,284,575,1037,2101
payload-64kb,2026-06-04 03:11:29,10000,9643,20.0,64,50.0,65536,1000,0,80.0,96280,96580,0,0,421,901,1343,1954,3521,277,691,1073,1634,2823
keys-10,2026-06-04 03:11:54,10000,9540,20.0,64,50.0,64,10,0,80.0,95273,95537,0,0,110,207,270,384,1439,76,139,179,251,1443
keys-1k,2026-06-04 03:12:19,10000,9538,20.0,64,50.0,64,1000,0,80.0,95208,95562,0,0,111,214,292,684,1111,77,145,204,482,935
keys-100k,2026-06-04 03:12:44,10000,9457,20.0,64,50.0,64,100000,0,80.0,95221,93929,0,0,111,214,291,804,3047,77,144,193,660,3053
keys-1m,2026-06-04 03:13:09,10000,9540,20.0,64,50.0,64,1000000,0,80.0,95293,95507,0,0,111,216,293,1375,6023,76,144,198,1153,4959
hotkey-uniform,2026-06-04 03:13:34,10000,9649,20.0,64,50.0,64,5000,0,80.0,96605,96385,0,0,111,213,281,1129,4151,78,144,194,650,4419
hotkey-skew-50,2026-06-04 03:13:59,10000,9479,20.0,64,50.0,64,5000,10,50.0,94641,94949,0,0,110,210,279,893,4299,77,141,185,643,3565
hotkey-skew-80,2026-06-04 03:14:24,10000,9528,20.0,64,50.0,64,5000,10,80.0,95250,95310,0,0,113,220,294,1258,4355,78,148,197,902,3351
hotkey-skew-95,2026-06-04 03:14:49,10000,9485,20.0,64,50.0,64,5000,5,95.0,95102,94598,0,0,114,219,294,1343,5551,77,143,190,1160,5619
