label,timestamp,target_rate,actual_rate,duration_s,workers,read_ratio_pct,value_bytes,key_count,hot_keys,hot_ratio_pct,write_ops,read_ops,errors,dropped_tokens,wp50_us,wp95_us,wp99_us,wp999_us,wmax_us,rp50_us,rp95_us,rp99_us,rp999_us,rmax_us
throughput-1k,2026-06-04 02:24:09,1000,977,60.0,64,50.0,64,5000,0,80.0,29194,29461,0,0,45,59,69,98,950,31,42,50,68,2002
throughput-5k,2026-06-04 02:25:17,5000,4776,60.0,64,50.0,64,5000,0,80.0,143545,143070,0,0,70,126,163,294,916,52,85,114,182,802
throughput-10k,2026-06-04 02:26:25,10000,9539,60.0,64,50.0,64,5000,0,80.0,286221,286139,0,0,109,212,289,452,976,75,138,184,312,789
throughput-20k,2026-06-04 02:27:33,20000,19091,60.0,64,50.0,64,5000,0,80.0,573304,572176,0,0,171,394,538,762,1239,104,209,292,611,1040
throughput-50k,2026-06-04 02:28:41,50000,47516,60.0,64,50.0,64,5000,0,80.0,1425989,1425011,0,0,387,1030,1438,1929,6447,183,439,685,1351,5555
throughput-100k,2026-06-04 02:29:49,100000,97752,60.0,64,50.0,64,5000,0,80.0,2933108,2932292,0,122500,1273,2015,2683,3505,6779,90,493,903,1561,4031
ratio-read-only,2026-06-04 02:30:57,10000,9863,60.0,64,100.0,64,5000,0,80.0,0,591790,0,0,0,0,0,0,0,67,100,123,203,684
ratio-read-heavy,2026-06-04 02:32:05,10000,9561,60.0,64,90.0,64,5000,0,80.0,57469,516211,0,0,90,137,174,353,598,71,113,140,245,820
ratio-balanced,2026-06-04 02:33:13,10000,9548,60.0,64,50.0,64,5000,0,80.0,286828,286062,0,0,111,215,289,486,899,74,136,180,323,903
ratio-write-heavy,2026-06-04 02:34:21,10000,9390,60.0,64,10.0,64,5000,0,80.0,507145,56275,0,0,150,321,434,613,1364,75,151,211,424,775
ratio-write-only,2026-06-04 02:35:29,10000,9270,60.0,64,0.0,64,5000,0,80.0,556250,0,0,0,157,332,447,607,1231,0,0,0,0,0
payload-64b,2026-06-04 02:36:37,10000,9529,60.0,64,50.0,64,1000,0,80.0,285888,285892,0,0,114,224,301,469,881,76,144,188,314,771
payload-256b,2026-06-04 02:37:45,10000,9541,60.0,64,50.0,256,1000,0,80.0,286261,286219,0,0,113,221,311,547,1035,76,138,189,433,1029
payload-1kb,2026-06-04 02:38:53,10000,9526,60.0,64,50.0,1024,1000,0,80.0,285591,286009,0,0,113,232,359,614,1243,77,150,247,523,1036
payload-4kb,2026-06-04 02:40:01,10000,9517,60.0,64,50.0,4096,1000,0,80.0,285752,285328,0,0,125,269,450,705,1635,87,172,324,612,1307
payload-16kb,2026-06-04 02:41:09,10000,9955,60.0,64,50.0,16384,1000,0,80.0,298079,299251,0,0,177,391,592,862,2077,121,274,478,744,1923
payload-64kb,2026-06-04 02:42:17,10000,9635,60.0,64,50.0,65536,1000,0,80.0,288885,289245,0,0,413,858,1163,1718,3127,274,662,957,1424,2709
keys-10,2026-06-04 02:43:25,10000,9536,60.0,64,50.0,64,10,0,80.0,286058,286152,0,0,110,208,270,391,8007,76,139,179,275,8079
keys-1k,2026-06-04 02:44:33,10000,9575,60.0,64,50.0,64,1000,0,80.0,287354,287206,0,0,117,230,309,551,2239,79,151,205,428,1989
